County,Agg_Assult,Sex_Offences,Manslaughter_Neg,Murder_and_Nonneg_Man,Rape,Robbery,Simp_Assult,Humman_Trafficking_Commercial_SA,Humman_Trafficking_Invol_Ser,Offences_Total
ALAMEDA,2280.0,237.0,1.0,47.0,56.0,796.0,3582.0,0.0,0.0,6999.0
AMADOR,31.0,1.0,0.0,0.0,1.0,0.0,21.0,0.0,0.0,54.0
BUTTE,330.0,48.0,1.0,2.0,11.0,47.0,603.0,0.0,0.0,1042.0
CALAVERAS,9.0,3.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,25.0
COLUSA,30.0,3.0,0.0,0.0,1.0,1.0,45.0,0.0,0.0,80.0
CONTRA COSTA,1459.0,173.0,2.0,41.0,35.0,443.0,1958.0,0.0,0.0,4111.0
DEL NORTE,35.0,8.0,0.0,0.0,0.0,6.0,57.0,0.0,0.0,106.0
EL DORADO,166.0,14.0,0.0,1.0,4.0,16.0,147.0,0.0,0.0,348.0
FRESNO,768.0,78.0,0.0,0.0,17.0,88.0,865.0,0.0,0.0,1816.0
GLENN,12.0,1.0,0.0,0.0,0.0,1.0,29.0,0.0,0.0,43.0
HUMBOLDT,253.0,40.0,0.0,5.0,1.0,43.0,290.0,0.0,0.0,632.0
IMPERIAL,197.0,26.0,0.0,3.0,8.0,29.0,370.0,0.0,0.0,633.0
INYO,25.0,2.0,0.0,0.0,0.0,3.0,26.0,0.0,0.0,56.0
KERN,1425.0,134.0,7.0,47.0,45.0,283.0,2087.0,0.0,0.0,4028.0
KINGS,388.0,71.0,1.0,6.0,14.0,23.0,338.0,0.0,0.0,841.0
LAKE,142.0,15.0,0.0,1.0,2.0,22.0,139.0,0.0,0.0,321.0
LASSEN,38.0,3.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,75.0
LOS ANGELES,19204.0,1828.0,30.0,263.0,484.0,4789.0,13439.0,0.0,0.0,40037.0
MADERA,308.0,31.0,1.0,2.0,9.0,26.0,342.0,0.0,0.0,719.0
MARIN,298.0,49.0,1.0,1.0,9.0,36.0,410.0,0.0,0.0,804.0
MENDOCINO,174.0,4.0,0.0,1.0,2.0,21.0,218.0,0.0,0.0,420.0
MERCED,569.0,77.0,3.0,16.0,17.0,81.0,876.0,0.0,0.0,1639.0
MODOC,20.0,4.0,0.0,0.0,1.0,1.0,14.0,0.0,0.0,40.0
MONO,35.0,3.0,0.0,0.0,2.0,0.0,25.0,0.0,0.0,65.0
MONTEREY,733.0,94.0,0.0,9.0,19.0,131.0,827.0,0.0,0.0,1813.0
NAPA,235.0,18.0,0.0,1.0,17.0,41.0,223.0,0.0,0.0,535.0
NEVADA,112.0,15.0,0.0,3.0,2.0,6.0,168.0,0.0,0.0,306.0
ORANGE,4285.0,630.0,6.0,68.0,156.0,830.0,4790.0,0.0,0.0,10765.0
PLACER,411.0,34.0,0.0,2.0,9.0,72.0,356.0,0.0,0.0,884.0
RIVERSIDE,3743.0,340.0,7.0,57.0,102.0,468.0,2862.0,0.0,0.0,7579.0
SACRAMENTO,2739.0,248.0,3.0,37.0,26.0,509.0,1950.0,0.0,0.0,5512.0
SAN BENITO,117.0,12.0,1.0,1.0,4.0,16.0,124.0,0.0,0.0,275.0
SAN BERNARDINO,5163.0,580.0,8.0,62.0,155.0,996.0,4698.0,0.0,0.0,11662.0
SAN DIEGO,5808.0,429.0,4.0,50.0,94.0,988.0,5121.0,0.0,0.0,12494.0
SAN FRANCISCO,1498.0,77.0,6.0,34.0,27.0,348.0,1534.0,0.0,0.0,3524.0
SAN JOAQUIN,1764.0,151.0,1.0,24.0,45.0,366.0,1483.0,0.0,0.0,3834.0
SAN LUIS OBISPO,306.0,29.0,0.0,0.0,12.0,34.0,346.0,0.0,0.0,727.0
SAN MATEO,1028.0,98.0,0.0,5.0,32.0,204.0,972.0,0.0,0.0,2339.0
SANTA BARBARA,579.0,59.0,0.0,7.0,13.0,71.0,637.0,0.0,0.0,1366.0
SANTA CLARA,3063.0,445.0,10.0,45.0,130.0,628.0,2556.0,0.0,0.0,6877.0
SANTA CRUZ,330.0,45.0,0.0,2.0,7.0,51.0,617.0,0.0,0.0,1052.0
SHASTA,466.0,43.0,0.0,6.0,11.0,78.0,422.0,0.0,0.0,1026.0
SISKIYOU,50.0,4.0,0.0,1.0,2.0,2.0,99.0,0.0,0.0,158.0
SOLANO,945.0,92.0,2.0,14.0,14.0,204.0,1178.0,0.0,0.0,2449.0
SONOMA,983.0,100.0,2.0,7.0,26.0,106.0,979.0,0.0,0.0,2203.0
STANISLAUS,1488.0,129.0,3.0,22.0,42.0,234.0,1411.0,0.0,0.0,3329.0
SUTTER,250.0,16.0,0.0,2.0,6.0,25.0,232.0,0.0,0.0,531.0
TEHAMA,94.0,24.0,0.0,1.0,0.0,10.0,194.0,0.0,0.0,323.0
TULARE,1308.0,106.0,0.0,23.0,37.0,160.0,1163.0,0.0,0.0,2797.0
TUOLUMNE,39.0,3.0,0.0,0.0,0.0,4.0,58.0,0.0,0.0,104.0
VENTURA,1421.0,163.0,3.0,17.0,20.0,221.0,2113.0,0.0,0.0,3958.0
YOLO,386.0,31.0,2.0,2.0,8.0,65.0,338.0,0.0,0.0,832.0
YUBA,86.0,7.0,0.0,2.0,3.0,6.0,78.0,0.0,0.0,182.0
