,Department_Name,State,County,City,Ori,Agg_Assult,Sex_Offences,Manslaughter_Neg,Murder_and_Nonneg_Man,Rape,Robbery,Simp_Assult,Humman_Trafficking_Commercial_SA,Humman_Trafficking_Invol_Ser,Offences_Total
1,Alameda Police Department,CA,ALAMEDA,Alameda,CA0010100,90,12,0,0,1,18,197,0,0,318
2,Albany Police Department,CA,ALAMEDA,Albany,CA0010200,18,3,0,0,3,4,26,0,0,54
3,Berkeley Police Department,CA,ALAMEDA,Berkeley,CA0010300,194,28,0,2,6,99,211,0,0,540
4,Emeryville Police Department,CA,ALAMEDA,Emeryville,CA0010400,38,3,0,0,4,22,75,0,0,142
5,Fremont Police Department,CA,ALAMEDA,Fremont,CA0010500,160,27,0,4,6,87,179,0,0,463
6,Hayward Police Department,CA,ALAMEDA,Hayward,CA0010600,247,36,0,0,3,31,307,0,0,624
7,Livermore Police Department,CA,ALAMEDA,Livermore,CA0010700,147,14,0,1,1,10,208,0,0,381
8,Newark Police Department,CA,ALAMEDA,Newark,CA0010800,44,3,0,1,1,11,81,0,0,141
9,Oakland Police Department,CA,ALAMEDA,Oakland,CA0010900,934,68,1,37,28,347,1871,0,0,3286
10,Piedmont Police Department,CA,ALAMEDA,Piedmont,CA0011000,0,0,0,0,0,2,6,0,0,8
11,Pleasanton Police Department,CA,ALAMEDA,Pleasanton,CA0011100,46,9,0,0,0,20,86,0,0,161
12,San Leandro Police Department,CA,ALAMEDA,San Leandro,CA0011200,161,19,0,1,2,87,163,0,0,433
13,Union City Police Department,CA,ALAMEDA,Union City,CA0011300,122,8,0,0,1,39,93,0,0,263
18,Dublin Police Department,CA,ALAMEDA,Dublin,CA001300X,79,7,0,1,0,19,79,0,0,185
24,Ione Police Department,CA,AMADOR,Ione,CA0030200,8,1,0,0,1,0,11,0,0,21
25,Jackson Police Department,CA,AMADOR,Jackson,CA0030300,19,0,0,0,0,0,6,0,0,25
26,Sutter Creek Police Department,CA,AMADOR,Sutter Creek,CA0030500,4,0,0,0,0,0,4,0,0,8
30,Biggs Police Department,CA,BUTTE,Biggs,CA0040100,1,0,0,0,0,0,5,0,0,6
31,Chico Police Department,CA,BUTTE,Chico,CA0040200,234,28,1,0,9,31,432,0,0,735
32,Gridley Police Department,CA,BUTTE,Gridley,CA0040300,11,2,0,0,0,3,32,0,0,48
33,Oroville Police Department,CA,BUTTE,Oroville,CA0040400,71,16,0,2,2,12,120,0,0,223
34,Paradise Police Department,CA,BUTTE,Paradise,CA0040500,13,2,0,0,0,1,14,0,0,30
40,City of Angels Police Department,CA,CALAVERAS,City of Angels,CA0050100,9,3,0,0,0,0,13,0,0,25
45,Colusa Police Department,CA,COLUSA,Colusa,CA0060100,15,1,0,0,0,0,30,0,0,46
46,Williams Police Department,CA,COLUSA,Williams,CA0060200,15,2,0,0,1,1,15,0,0,34
50,Antioch Police Department,CA,CONTRA COSTA,Antioch,CA0070100,247,46,1,25,10,102,399,0,0,830
51,Brentwood Police Department,CA,CONTRA COSTA,Brentwood,CA0070200,47,4,0,0,3,26,173,0,0,253
