County,Population,Income_median,Income_per_capita,%_Poverty,%_Employed,%_Unemployed,%_Armed_forces_active,%_African_american,%_American_indian_alaskan_native,%_Asian,%_Hispanic_latino,%_Pacific_islander,%_White,%_Other_race,%_Multiple_races,Poverty_count,Employed,Unemployed,Armed_forces_active,African_american,American_indian_alaskan_native,Asian,Hispanic_latino,Pacific_islander,White,Other_race,Multiple_races
Lake,64148.0,42475.0,25404.0,20.61,36.77,3.98,0.02,2.43,3.78,1.03,20.0,0.05,77.11,12.55,3.05,13224.0,23589.0,2556.0,15.0,1562.0,2426.0,661.0,12830.0,30.0,49463.0,8048.0,1958.0
Merced,269075.0,50129.0,21634.0,22.17,38.14,5.54,0.02,3.26,0.74,7.48,58.9,0.23,57.37,26.81,4.1,59660.0,102638.0,14912.0,54.0,8772.0,1988.0,20131.0,158494.0,623.0,154376.0,72152.0,11033.0
Mariposa,17540.0,51199.0,29776.0,13.88,40.2,3.85,0.05,0.95,2.26,1.39,10.88,0.31,88.82,2.26,4.02,2435.0,7051.0,676.0,8.0,166.0,397.0,243.0,1909.0,54.0,15579.0,396.0,705.0
Modoc,8938.0,45149.0,23235.0,16.06,34.96,3.07,0.0,1.67,3.33,1.57,14.46,0.07,90.02,0.58,2.76,1435.0,3125.0,274.0,0.0,149.0,298.0,140.0,1292.0,6.0,8046.0,52.0,247.0
Contra Costa,1133247.0,93712.0,45524.0,9.05,48.3,3.14,0.06,8.59,0.49,16.33,25.42,0.49,57.21,9.97,6.92,102543.0,547323.0,35563.0,725.0,97333.0,5529.0,185065.0,288101.0,5585.0,648325.0,112976.0,78434.0
Inyo,18085.0,52874.0,31540.0,9.91,44.73,2.47,0.0,0.89,11.62,1.6,21.71,0.19,80.49,1.78,3.42,1792.0,8090.0,447.0,0.0,161.0,2101.0,290.0,3927.0,35.0,14557.0,322.0,619.0
Stanislaus,539301.0,57387.0,25101.0,15.96,41.26,4.85,0.03,2.88,0.79,5.42,45.61,0.74,75.8,10.17,4.19,86066.0,222532.0,26130.0,180.0,15534.0,4261.0,29248.0,245973.0,3973.0,408817.0,54861.0,22607.0
Santa Barbara,443738.0,71657.0,34229.0,14.2,47.72,3.12,0.39,1.94,0.99,5.38,45.09,0.18,77.53,9.47,4.51,63010.0,211751.0,13861.0,1749.0,8626.0,4389.0,23863.0,200060.0,814.0,344026.0,42024.0,19996.0
Mono,14174.0,63018.0,33421.0,10.26,58.4,1.85,0.61,0.74,3.72,2.39,27.28,0.0,84.78,5.65,2.72,1454.0,8278.0,262.0,86.0,105.0,527.0,339.0,3866.0,0.0,12017.0,801.0,385.0
San Benito,59416.0,81977.0,31475.0,9.19,48.52,3.86,0.06,0.74,0.71,2.93,59.32,0.2,82.22,8.47,4.73,5459.0,28831.0,2294.0,34.0,440.0,422.0,1739.0,35248.0,117.0,48851.0,5035.0,2812.0
Sacramento,1510023.0,63902.0,31311.0,15.63,45.43,3.61,0.08,9.87,0.68,15.59,22.98,1.11,58.0,7.62,7.12,235982.0,686019.0,54551.0,1261.0,149064.0,10340.0,235474.0,347025.0,16715.0,875793.0,115072.0,107565.0
El Dorado,186661.0,80582.0,40382.0,8.86,44.49,2.94,0.17,0.8,0.68,4.44,12.66,0.22,87.97,2.17,3.72,16537.0,83049.0,5480.0,324.0,1494.0,1268.0,8291.0,23631.0,406.0,164202.0,4051.0,6949.0
Monterey,433212.0,66676.0,28836.0,13.55,42.71,2.42,1.24,2.59,0.74,5.62,58.31,0.46,59.26,27.1,4.23,58699.0,185025.0,10475.0,5371.0,11200.0,3221.0,24342.0,252588.0,2011.0,256709.0,117386.0,18343.0
San Francisco,870044.0,104552.0,64157.0,10.69,59.24,2.91,0.03,5.22,0.32,34.21,15.25,0.33,46.73,7.75,5.44,92979.0,515382.0,25320.0,262.0,45402.0,2746.0,297667.0,132651.0,2911.0,406538.0,67424.0,47356.0
San Diego,3302833.0,74855.0,36156.0,12.21,47.38,3.24,2.22,5.04,0.64,11.82,33.51,0.42,70.71,6.22,5.16,403190.0,1564930.0,106962.0,73294.0,166412.0,20980.0,390418.0,1106925.0,13903.0,2335447.0,205307.0,170366.0
Tulare,460477.0,47518.0,20421.0,25.14,38.49,3.98,0.06,1.59,1.19,3.57,64.1,0.15,76.5,13.63,3.37,115786.0,177236.0,18321.0,291.0,7326.0,5469.0,16462.0,295149.0,697.0,352259.0,62743.0,15521.0
Humboldt,135768.0,45528.0,26747.0,19.86,44.91,3.92,0.04,1.17,5.01,3.06,11.31,0.32,80.12,4.26,6.06,26957.0,60970.0,5327.0,59.0,1585.0,6797.0,4160.0,15360.0,436.0,108784.0,5778.0,8228.0
Alpine,1146.0,64688.0,29041.0,19.81,31.94,6.89,0.0,0.79,27.14,0.7,9.16,0.7,63.09,0.0,7.59,227.0,366.0,79.0,0.0,9.0,311.0,8.0,105.0,8.0,723.0,0.0,87.0
Madera,155013.0,52884.0,21394.0,19.71,37.29,3.38,0.03,3.24,1.62,2.12,57.29,0.11,72.01,17.38,3.52,30549.0,57799.0,5243.0,41.0,5026.0,2505.0,3294.0,88806.0,169.0,111621.0,26944.0,5454.0
Santa Cruz,273765.0,78041.0,39001.0,13.67,49.28,3.3,0.05,0.95,0.5,4.6,33.49,0.12,76.15,12.98,4.7,37429.0,134904.0,9027.0,150.0,2596.0,1375.0,12601.0,91676.0,316.0,208476.0,35546.0,12855.0
Trinity,12862.0,38497.0,25964.0,19.37,36.99,3.47,0.0,0.68,4.49,1.61,7.23,1.23,86.58,2.93,2.49,2491.0,4758.0,446.0,0.0,87.0,577.0,207.0,930.0,158.0,11136.0,377.0,320.0
Riverside,2383286.0,63948.0,27142.0,14.51,42.29,3.97,0.18,6.44,0.81,6.38,48.44,0.29,60.85,20.78,4.45,345724.0,1007795.0,94709.0,4277.0,153545.0,19281.0,152130.0,1154517.0,6843.0,1450134.0,495241.0,106112.0
San Bernardino,2135413.0,60164.0,23956.0,16.82,41.79,4.01,0.52,8.35,0.84,7.02,52.81,0.3,61.11,17.64,4.74,359080.0,892435.0,85647.0,11076.0,178404.0,17894.0,149837.0,1127813.0,6506.0,1305047.0,376608.0,101117.0
Marin,260295.0,110217.0,69275.0,7.43,50.49,1.98,0.07,2.19,0.28,5.76,15.88,0.22,78.12,8.55,4.86,19341.0,131425.0,5149.0,186.0,5709.0,737.0,15000.0,41335.0,584.0,203342.0,22262.0,12661.0
Placer,380077.0,84357.0,41508.0,7.97,45.65,2.37,0.28,1.63,0.5,7.24,13.81,0.22,82.52,3.14,4.75,30293.0,173493.0,9005.0,1046.0,6197.0,1890.0,27535.0,52498.0,839.0,313636.0,11920.0,18060.0
Shasta,179085.0,50905.0,27983.0,16.86,40.42,2.69,0.01,1.23,2.63,3.03,9.83,0.11,87.02,1.91,4.08,30186.0,72392.0,4824.0,21.0,2209.0,4704.0,5427.0,17605.0,191.0,155840.0,3415.0,7299.0
Solano,438530.0,77609.0,33700.0,10.13,46.23,3.5,0.85,14.1,0.48,15.46,26.09,0.94,52.71,9.11,7.2,44427.0,202713.0,15346.0,3744.0,61826.0,2114.0,67813.0,114406.0,4113.0,231149.0,39952.0,31563.0
